Parameters;1;2;3;4;5;6;7;8;9;10;11;12;13;14
N;0;मेरी आँखों में निराशा आ गयी।;;;;;;;;;;;;
N;0;तभी मेरी नजर दरवाजे के सामने रखे प्यारे से गुलाब के फूलों पर गई।;;;;;;;;;;;;
IMGP;FlowerBouquet_CorridorBG_TOPScreenView;BuildingCorridorBG;;;;;;;;;;;;
N;0;साथ में एक खत भी था। ;;;;;;;;;;;;
FO;LivingRoomBG;;;;;;;;;;;;;
BG;LivingRoomBG;2;;;;;;;;;;;;
N;0;मैं गुलदस्ता और खत लेकर अंदर आई।;;;;;;;;;;;;
N;0;खत {$MalePlayerName} का था। खत में लिखा था-;;;;;;;;;;;;
IMGNZ;LetterScreenView;;;;;;;;;;;;;
D;LetterScreenView;ScreenCharacter_Letter;Main Character Nahi Hun;जान, तुम्हारी जान बोल रहा हूँ।;0;;;;;;;;;
N;0;मैं मुस्कुरायी। ;LivingRoomBG;;;;;;;;;;;
D;LetterScreenView;ScreenCharacter_Letter;Main Character Nahi Hun;जनता हूँ तुम गुस्सा होगी, बता दो बाराबंकी के लड़के ऐसे ही होते हैं, बहुत तेज, फिर सीधे लगते हैं।;1;;;;;;;;;
N;0;मैंने इतराकर पढ़ना जारी रखा।;LivingRoomBG;;;;;;;;;;;
D;LetterScreenView;ScreenCharacter_Letter;Main Character Nahi Hun;लेट जो हो गया, ऑफिस से घर आने में... ;0;;;;;;;;;
D;LivingRoomBG;XXXF;Happy;(हस्ते हुए) ये नहीं सुधर सकता। ;0;D1;PatiPatniAurWo;0;L;;;;;
D;LetterScreenView;ScreenCharacter_Letter;Main Character Nahi Hun;चलो अब हस भी दी हो, तो मुझे माफ़ भी कर दो। ;0;;;;;;;;;
D;LivingRoomBG;XXXF;Happy;(शरमाकर) कर दिया।;0;D1;PatiPatniAurWo;0;L;;;;;
ML;2;;;;;;;;;;;;;
D;LetterScreenView;ScreenCharacter_Letter;Main Character Nahi Hun;अच्छा, तो अब जल्दी से छत्त पर आ जाओ। मैं इंतज़ार कर रहा हूँ। ;0;;;;;;;;;
D;LivingRoomBG;XXXF;Confuse;उम्म्म क्या करूँ?;0;D1;PatiPatniAurWo;0;L;;;;;
D;LivingRoomBG;XXXF;Happy;(रोमांटिक मूड में) तैयार होकर जाती हूँ! ;0;D1;PatiPatniAurWo;0;L;;;;;
FO;TerraceBG;;;;;;;;;;;;;
BG;TerraceBG;1;;;;;;;;;;;;
N;0;तभी मैं छत पर गयी। ;;;;;;;;;;;;
N;0;वहाँ पर एक टेडी रखा था।;;;;;;;;;;;;
N;0;और साथ में फिरसे एक खत था।;;;;;;;;;;;;
IMGP;TeddyBear_TerraceBG_TOPScreenView;TerraceBG;;;;;;;;;;;;
N;0;खत उठाकर पढ़ा तो उसमे लिखा था- ;TerraceBG;;;;;;;;;;;
D;LetterScreenView;ScreenCharacter_Letter;Main Character Nahi Hun;मुझे पता था मैं बुलाऊ और तुम न आओ ऐसा हो नहीं सकता।;0;;;;;;;;;
D;LetterScreenView;ScreenCharacter_Letter;Main Character Nahi Hun;सुनो न… जीने के पास आओ, वहाँ तुम्हारे लिए कुछ ख़ास हैं। ;0;;;;;;;;;
FO;BuildingCorridorBG;;;;;;;;;;;;;
BG;BuildingCorridorBG;1;;;;;;;;;;;;
D;BuildingCorridorBG;XXXF;Confuse;कहाँ हो तुम {$MalePlayerName}? अब सामने भी आ जाओ!;0;D1;PatiPatniAurWo;0;L;;;;;
D;BuildingCorridorBG;XXXF;Happy;चलो देखती हूँ अब क्या हैं। ;0;D1;PatiPatniAurWo;0;L;;;;;
N;0;जीने पर एक और बॉक्स रखा हुआ था।  ;BuildingCorridorBG;;;;;;;;;;;
N;0;उसपर प्यार से लिखा था - "मेरी जान के लिए!";;;;;;;;;;;;
D;BuildingCorridorBG;XXXF;Happy;ये लो… साहब का एक और तोहफा। देखती हूँ अब इसमें क्या हैं?;0;D1;PatiPatniAurWo;0;L;;;;;
N;0;बॉक्स खोलते ही फिरसे एक खत और एक लव लॉकेट मिला।;BuildingCorridorBG;;;;;;;;;;;
N;0;मेरी ख़ुशी का ठिकाना ही नहीं था।;;;;;;;;;;;;
N;0;मैं काफी वक़्त से {$MalePlayerName} से ये लव लॉकेट्स मांग रही थी। ;;;;;;;;;;;;
D;LetterScreenView;ScreenCharacter_Letter;Main Character Nahi Hun;मेरी जान, अब बस हो गया, नीचे आ जाओ। ;0;;;;;;;;;
D;BuildingCorridorBG;XXXF;Happy;हाहाहा!;0;D1;PatiPatniAurWo;0;L;;;;;
FO;BuildingCorridorBG;;;;;;;;;;;;;
BG;BuildingCorridorBG;2;;;;;;;;;;;;
N;0;मैं नीचे उतरकर दरवाज़े की तरफ जा ही रही थी की पीछे {$MalePlayerName} ने मुझे पकड़कर हग कर लिया। ;;;;;;;;;;;;
D;BuildingCorridorBG;XXXF;Happy;अरे जान! तुमने तो डरा दिया मुझे।;0;D1;PatiPatniAurWo;0;L;;;;;
D;BuildingCorridorBG;YYYM;Happy;हाहा, अब अपने पति से भी डरोगी?;0;D1;PatiPatniAurWo;0;R;;;;;
D;BuildingCorridorBG;XXXF;Happy;अच्छा जी?;0;D1;PatiPatniAurWo;0;L;;;;;
D;BuildingCorridorBG;YYYM;Happy;(मुझे कसके पकड़कर) अब बताओ, डर लग रहा हैं?;0;D1;PatiPatniAurWo;0;R;;;;;
D;BuildingCorridorBG;XXXF;Happy;(हस्ते हुए) नहीं!;0;D1;PatiPatniAurWo;0;L;;;;;
D;BuildingCorridorBG;YYYM;Happy;अच्छा? (और करीब आकर) अब?;0;D1;PatiPatniAurWo;0;R;;;;;
D;BuildingCorridorBG;XXXF;Happy;नो नो बिलकुल नहीं!;0;D1;PatiPatniAurWo;0;L;;;;;
D;BuildingCorridorBG;YYYM;Happy;रुको अभी बताता हूँ!;0;D1;PatiPatniAurWo;0;R;;;;;
D;BuildingCorridorBG;XXXF;Happy;हम्म हम्म बताइये।;0;D1;PatiPatniAurWo;0;L;;;;;
D;BuildingCorridorBG;YYYM;Happy;(बिलकुल करीब आकर गले पर हौले से कीस करते हुए) अब भी नहीं?;0;D1;PatiPatniAurWo;0;R;;;;;
D;BuildingCorridorBG;XXXF;Confuse;(शरमाई सी, हड़बड़ाकर) {$MalePlayerName}, छोड़ो मुझे, कोई देख लेगा।;0;D1;PatiPatniAurWo;0;L;;;;;
D;BuildingCorridorBG;YYYM;Happy;तो देखने दो, पत्नी हो मेरी, कोई गैर थोड़ी।;0;D1;PatiPatniAurWo;0;R;;;;;
D;BuildingCorridorBG;XXXF;Happy;अच्छा जी, आज बड़े रोमांटिक मूड में हैं आप?;0;D1;PatiPatniAurWo;0;L;;;;;
D;BuildingCorridorBG;YYYM;Happy;हाँ अब बीवी इतनी खूबसूरत हो तो रोमांस खुद आ जाता हैं।;0;D1;PatiPatniAurWo;0;R;;;;;
D;BuildingCorridorBG;XXXF;Happy;(शरमाकर) कुछ भी!;0;D1;PatiPatniAurWo;0;L;;;;;
D;BuildingCorridorBG;YYYM;Happy;अच्छा अब आओ अंदर चलो, एक और छोटा सा सरप्राइज हैं।;0;D1;PatiPatniAurWo;0;R;;;;;
N;0;{$MalePlayerName} ने झट्ट से अपने हाथों से मेरी आँखें बंद कर दी।;BuildingCorridorBG;;;;;;;;;;;
D;BuildingCorridorBG;YYYM;Happy;आओ अब चलो अंदर।;0;D1;PatiPatniAurWo;0;R;;;;;
FO;LivingRoomBG;;;;;;;;;;;;;
BG;LivingRoomBG;2;;;;;;;;;;;;
N;0;अंदर जाकर जब {$MalePlayerName} ने आँख खोलने को कहा तो मैंने देखा की पूरा घर सजा हुआ था सितारों सा।;;;;;;;;;;;;
N;0;केक भी था।;;;;;;;;;;;;
D;LivingRoomBG;XXXF;Happy;मुझे यकीन नहीं हो रहा {$MalePlayerName}!;0;D1;PatiPatniAurWo;0;L;;;;;
D;LivingRoomBG;YYYM;Happy;क्या यकीन नहीं हो रहा, साहिबा?;0;D1;PatiPatniAurWo;0;R;;;;;
D;LivingRoomBG;XXXF;Confuse;तुम… तुमने ये सब… इतनी जल्दी कैसे?;0;D1;PatiPatniAurWo;0;L;;;;;
D;LivingRoomBG;YYYM;Happy;इसका जवाब सिंपल हैं, प्यार से किया!;0;D1;PatiPatniAurWo;0;R;;;;;
N;0;यह सुनकर माहौल और रोमांटिक हो गया।;LivingRoomBG;;;;;;;;;;;
D;LivingRoomBG;YYYM;Happy;बेबी, पता हैं आज क्या हैं?;0;D1;PatiPatniAurWo;0;R;;;;;
D;LivingRoomBG;XXXF;Happy;उम… सच कहु तो नहीं... बताओ न?;0;D1;PatiPatniAurWo;0;L;;;;;
D;LivingRoomBG;YYYM;Happy;हाहाहा मुझे पता था। लेकिन बताने की कीमत लगेगी!;0;D1;PatiPatniAurWo;0;R;;;;;
D;LivingRoomBG;XXXF;Happy;(शरमाकर) उम… क्या?;0;D1;PatiPatniAurWo;0;L;;;;;
D;LivingRoomBG;YYYM;Happy;पहले एक अच्छी सी किस दो मुझे!;0;D1;PatiPatniAurWo;0;R;;;;;
D;LivingRoomBG;XXXF;Happy;अच्छा ठीक हैं ये लो… उम्माह्ह्ह!;0;D1;PatiPatniAurWo;0;L;;;;;
D;LivingRoomBG;YYYM;Happy;ओहो लाटरी! अच्छा, आज के दिन हमने पहली बार एक दुसरो को आई लव यू बोला था।;1;D1;PatiPatniAurWo;0;R;;;;;
D;LivingRoomBG;XXXF;Happy;ओह्ह अच्छा, याद आया… वो लैम्पोस्ट के पास, सरदीयों का मौसम था।;1;D1;PatiPatniAurWo;0;L;;;;;
D;LivingRoomBG;YYYM;Happy;(करीब आकर) और हम बोहोत करीब थे एक दूसरे के, ऐसे ही!;0;D1;PatiPatniAurWo;0;R;;;;;
D;LivingRoomBG;XXXF;Happy;हम्म… वो तो हैं।;0;D1;PatiPatniAurWo;0;L;;;;;
N;0;मुझे {$MalePlayerName} को रोमांस करके एक्साइटेड करना था।;LivingRoomBG;;;;;;;;;;;
D;LivingRoomBG;YYYM;Happy;हम्म तो क्या इरादा हैं?;0;D1;PatiPatniAurWo;0;R;;;;;
D;LivingRoomBG;XXXF;Happy;कुछ ख़ास नेक तो नहीं हैं इरादे मेरे भी।;0;D1;PatiPatniAurWo;0;L;;;;;
D;LivingRoomBG;YYYM;Happy;ओहो, अच्छा जी!;0;D1;PatiPatniAurWo;0;R;;;;;
D;LivingRoomBG;XXXF;Happy;मुझे {$MalePlayerName} को कैसे एक्साइट करना चाहिए?;0;D1;PatiPatniAurWo;1;L;-1;3;धीरे से अपना ड्रेस सरकाकर।;सेक्सी तरीके से टच करके।;लिपटकर उसको किस करूँ।
D;LivingRoomBG;YYYM;Happy;OMG! मैं तो गया ये नज़ारे देखकर!;0;D1;PatiPatniAurWo;0;R;;;;;
D;LivingRoomBG;XXXF;Happy;ऐसा भी क्या?;0;D1;PatiPatniAurWo;0;L;;;;;
D;LivingRoomBG;YYYM;Happy;(बोहोत ज्यादा पास आकर) कोई तो रोक लो, अब कण्ट्रोल करना मुश्कील हैं।;1;D1;PatiPatniAurWo;0;R;;;;;
D;LivingRoomBG;XXXF;Happy;अच्छा जी, पहले खाना तो खा लीजिये!;0;D1;PatiPatniAurWo;0;L;;;;;
D;LivingRoomBG;YYYM;Happy;तुम बोहोत दुस्ट हो। कितना चिढ़ाओगी यार मुझको?;0;D1;PatiPatniAurWo;0;R;;;;;
MBE;;;;;;;;;;;;;;
D;LivingRoomBG;YYYM;Happy;OMG! मैं तो गया!;0;D1;PatiPatniAurWo;0;R;;;;;
D;LivingRoomBG;XXXF;Happy;ऐसा भी क्या?;0;D1;PatiPatniAurWo;0;L;;;;;
D;LivingRoomBG;YYYM;Happy;(बोहोत ज्यादा पास आकर) कोई तो रोक लो, अब कण्ट्रोल करना मुश्कील हैं।;1;D1;PatiPatniAurWo;0;R;;;;;
D;LivingRoomBG;XXXF;Happy;अच्छा जी, पहले खाना तो खा लीजिये!;0;D1;PatiPatniAurWo;0;L;;;;;
D;LivingRoomBG;YYYM;Happy;तुम बोहोत दुस्ट हो। कितना चिढ़ाओगी यार मुझको?;0;D1;PatiPatniAurWo;0;R;;;;;
MBE;;;;;;;;;;;;;;
D;LivingRoomBG;YYYM;Happy;OMG! मैं तो गया!;0;D1;PatiPatniAurWo;0;R;;;;;
D;LivingRoomBG;XXXF;Happy;ऐसा भी क्या?;0;D1;PatiPatniAurWo;0;L;;;;;
D;LivingRoomBG;YYYM;Happy;(बोहोत ज्यादा पास आकर) कोई तो रोक लो, अब कण्ट्रोल करना मुश्कील हैं।;1;D1;PatiPatniAurWo;0;R;;;;;
D;LivingRoomBG;XXXF;Happy;अच्छा जी, पहले खाना तो खा लीजिये!;0;D1;PatiPatniAurWo;0;L;;;;;
D;LivingRoomBG;YYYM;Happy;तुम बोहोत दुस्ट हो। कितना चिढ़ाओगी यार मुझको?;0;D1;PatiPatniAurWo;0;R;;;;;
MBE;;;;;;;;;;;;;;
D;LivingRoomBG;XXXF;Happy;हाहाहा!;0;D1;PatiPatniAurWo;0;L;;;;;
D;LivingRoomBG;YYYM;Happy;बोहोत हसी आ रही न? अभी बताता हूँ डिनर के बाद!;0;D1;PatiPatniAurWo;0;R;;;;;
D;LivingRoomBG;XXXF;Happy;अच्छा जी?;0;D1;PatiPatniAurWo;0;L;;;;;
FO;KitchenBG;;;;;;;;;;;;;
BG;KitchenBG;1;;;;;;;;;;;;
N;0;डिनर के बाद मैं किचन में थी की तभी {$MalePlayerName} पीछे से आया।;;;;;;;;;;;;
N;0;और मैं धीरे से प्लेट रखने के बहाने भागने लगी।;;;;;;;;;;;;
N;0;{$MalePlayerName} मेरे पीछे दौडा मुझे पकड़ने को और झट से आकर मुझे कसके पकड़ लिया।;;;;;;;;;;;;
D;KitchenBG;YYYM;Happy;अब बताओ! लो पकड़ लिया!;0;D1;PatiPatniAurWo;0;R;;;;;
D;KitchenBG;XXXF;Confuse;बेबी ये क्या बचपाना हैं?;0;D1;PatiPatniAurWo;0;L;;;;;
D;KitchenBG;YYYM;Confuse;अरे वाह! खुद करो तो फ्लरटींग और मैं करू तो बचपना?;0;D1;PatiPatniAurWo;0;R;;;;;
D;KitchenBG;XXXF;Happy;हाँ मतलब थोड़ा भेदभाव…;0;D1;PatiPatniAurWo;0;L;;;;;
D;KitchenBG;YYYM;Happy;आज तो ये भेदभाव का सलूशन हो ही जाना चाहिए!;0;D1;PatiPatniAurWo;0;R;;;;;
D;KitchenBG;XXXF;Happy;हाँ क्यों नहीं!;0;D1;PatiPatniAurWo;0;L;;;;;
FO;BedroomBG;;;;;;;;;;;;;
BG;BedroomBG;1;;;;;;;;;;;;
N;0;अब {$MalePlayerName} मुझे लेकर कमरे में आ गया। और कहने लगा-;;;;;;;;;;;;
D;BedroomBG;YYYM;Happy;मैं शावर लेके आया बस।;0;D1;PatiPatniAurWo;0;R;;;;;
D;BedroomBG;XXXF;Happy;अब मुझे {$MalePlayerName} के साथ...;0;D1;PatiPatniAurWo;1;L;2;3;सेक्सी टाइम स्पेंड करना चाहिए।;कडल करके सो जाना चाहिए।;शावर में ज्वाइन करना चाहिए।
D;BedroomBG;YYYM;Happy;सुनो, मुझे टॉवल दे दो...;0;D1;PatiPatniAurWo;0;R;;;;;
D;BedroomBG;XXXF;Happy;आओ आके लेलो।;0;D1;PatiPatniAurWo;0;L;;;;;
D;BedroomBG;YYYM;Happy;अरे यार? ऐसे कौन करता हैं?;0;D1;PatiPatniAurWo;0;R;;;;;
D;BedroomBG;XXXF;Happy;तुम्हारी बीवी!;0;D1;PatiPatniAurWo;0;L;;;;;
D;BedroomBG;YYYM;Confuse;बेबी प्लीज न...;0;D1;PatiPatniAurWo;0;R;;;;;
N;0;मैंने अपने कपडे उतारकर {$MalePlayerName} को दे दीये...;BedroomBG;;;;;;;;;;;
IMGP;Girl_D2_BedroomBG_BOTTOMScreenView;BedroomBG;;;;;;;;;;;;
D;BedroomBG;XXXF;Happy;ये लो टॉवल!;0;D4;PatiPatniAurWo;0;L;;;;;
D;BedroomBG;YYYM;Happy;हाहाहा! आई ऍम कमिंग बेबी!;0;D1;PatiPatniAurWo;0;R;;;;;
MBE;;;;;;;;;;;;;;
D;BedroomBG;XXXF;Happy;चलो न बेबी कडल करके सोते हैं।;0;D1;PatiPatniAurWo;0;L;;;;;
D;BedroomBG;YYYM;Confuse;नो बेबी, पहले मैं नाहा लेता हूँ। बहुत मैला हो गया हूँ बाहर से।;1;D1;PatiPatniAurWo;0;R;;;;;
D;BedroomBG;YYYM;Happy;सुनो, मुझे टॉवल दे दो...;1;D1;PatiPatniAurWo;0;R;;;;;
D;BedroomBG;XXXF;Happy;आओ आके लेलो।;0;D1;PatiPatniAurWo;0;L;;;;;
D;BedroomBG;YYYM;Happy;अरे यार? ऐसे कौन करता हैं?;0;D1;PatiPatniAurWo;0;R;;;;;
D;BedroomBG;XXXF;Happy;तुम्हारी बीवी!;0;D1;PatiPatniAurWo;0;L;;;;;
D;BedroomBG;YYYM;Confuse;बेबी प्लीज न...;0;D1;PatiPatniAurWo;0;R;;;;;
N;0;मैंने अपने कपडे उतारकर {$MalePlayerName} को दे दीये...;BedroomBG;;;;;;;;;;;
IMGP;Girl_D2_BedroomBG_BOTTOMScreenView;BedroomBG;;;;;;;;;;;;
D;BedroomBG;XXXF;Happy;ये लो टॉवल!;0;D4;PatiPatniAurWo;0;L;;;;;
D;BedroomBG;YYYM;Happy;हाहाहा! आई ऍम कमिंग बेबी!;0;D1;PatiPatniAurWo;0;R;;;;;
MBE;;;;;;;;;;;;;;
D;BedroomBG;YYYM;Happy;सुनो, मुझे टॉवल दे दो...;0;D1;PatiPatniAurWo;0;R;;;;;
D;BedroomBG;XXXF;Happy;आओ आके लेलो।;0;D1;PatiPatniAurWo;0;L;;;;;
D;BedroomBG;YYYM;Happy;अरे यार? ऐसे कौन करता हैं?;0;D1;PatiPatniAurWo;0;R;;;;;
D;BedroomBG;XXXF;Happy;तुम्हारी बीवी!;0;D1;PatiPatniAurWo;0;L;;;;;
D;BedroomBG;YYYM;Confuse;बेबी प्लीज न...;0;D1;PatiPatniAurWo;0;R;;;;;
N;0;मैंने अपने कपडे उतारकर {$MalePlayerName} को दे दीये...;BedroomBG;;;;;;;;;;;
IMGP;Girl_D2_BedroomBG_BOTTOMScreenView;BedroomBG;;;;;;;;;;;;
D;BedroomBG;XXXF;Happy;अच्छा ये लो, इतना कह ही रहे हो तो लो... आ गई मैं भी।;1;D4;PatiPatniAurWo;0;L;;;;;
D;BedroomBG;YYYM;Happy;ओह माई गॉड! यू आर नेकेड!;0;D1;PatiPatniAurWo;0;R;;;;;
D;BedroomBG;XXXF;Happy;ओह? मुझे तो पता ही नहीं था! हाहाहा...;0;D4;PatiPatniAurWo;0;L;;;;;
D;BedroomBG;YYYM;Happy;हाहाहा! आई ऍम कमिंग बेबी!;0;D1;PatiPatniAurWo;0;R;;;;;
MBE;;;;;;;;;;;;;;
N;0;शावर में खींच कर {$MalePlayerName} ने मुझे...;BedroomBG;;;;;;;;;;;
N;1;इतनी भी क्या जल्दी हैं? आगे क्या हुआ जानने के लिए देखिये अगला एपिसोड।;;;;;;;;;;;;
END;;;;;;;;;;;;;;
